650652.49	9387774.87	650638.31	9387770.63
650641.14	9387770.69	650627.95	9387768.48
650640.28	9387768.45	650630.39	9387765.97
650636.52	9387765.50	650645.62	9387767.78
650636.38	9387764.38	650607.38	9387764.51
650647.94	9387763.38	650622.79	9387759.68
650654.49	9387759.54	650639.73	9387758.98
650639.13	9387757.73	650625.88	9387754.28
650652.69	9387754.71	650635.30	9387754.06
650644.86	9387752.26	650634.04	9387750.51
650635.83	9387752.35	650629.76	9387751.18
650622.76	9387750.52	650616.80	9387748.35
650652.30	9387750.02	650641.06	9387749.58
650641.91	9387748.89	650638.27	9387748.43
650652.66	9387748.23	650644.17	9387747.89
